trial_number,l1_smooth,dropout_rate,lr_max,n_epoch,num_layers,num_resblocks,num_units_layer_0,num_units_layer_1,num_units_layer_2,num_units_layer_3,num_units_layer_4,use_batchnorm,use_dropout,use_resblocks,mae,mse,rmse,state
128,0.10178637504577637,0.6560619605288908,0.00010903408393201643,276,2,,211,18.0,,,,True,False,False,0.3253883123397827,0.22661949694156647,0.476045697927475,COMPLETE
129,0.07205737382173538,0.6125006829841679,0.005410651965228861,206,2,,198,21.0,,,,True,False,False,0.2614910900592804,0.15171407163143158,0.38950490951538086,COMPLETE
130,0.06755943596363068,0.560499440987788,0.006859421546047398,283,3,,221,17.0,23.0,,,True,False,False,0.24817189574241638,0.13869714736938477,0.37242066860198975,COMPLETE
131,0.05950016900897026,0.6777699785646798,0.008097263796326378,241,2,,242,19.0,,,,True,False,False,0.23514923453330994,0.12286661565303802,0.3505233824253082,COMPLETE
132,0.0947093516588211,0.6382813825607441,0.0075693369491228605,237,2,,26,19.0,,,,True,False,False,0.30456796288490295,0.20010550320148468,0.4473315179347992,COMPLETE
133,0.1000114157795906,0.6763478398978734,0.006042184084121577,32,2,,234,18.0,,,,True,False,False,0.32952946424484253,0.21470314264297485,0.4633607268333435,COMPLETE
134,0.0606374591588974,0.6676863859883395,0.0078943401104765,300,2,,208,17.0,,,,True,False,False,0.23384180665016174,0.12731964886188507,0.3568187952041626,COMPLETE
135,0.06197141855955124,0.6682246527386473,0.004021395058849854,297,2,,208,17.0,,,,True,False,False,0.24121509492397308,0.13004082441329956,0.3606117367744446,COMPLETE
136,0.07324746996164322,0.6703380696223886,0.003983958311433174,300,3,,180,16.0,31.0,,,True,False,False,0.26067522168159485,0.15723727643489838,0.3965316116809845,COMPLETE
137,0.06761068105697632,0.7096951060938121,0.004920900798219846,265,2,,192,20.0,,,,True,False,False,0.2554331421852112,0.13948337733745575,0.37347471714019775,COMPLETE
138,0.06449481844902039,0.682457815066154,0.00780749635906643,222,2,,221,17.0,,,,True,False,False,0.2420334666967392,0.13468337059020996,0.366992324590683,COMPLETE
139,0.061108771711587906,0.6246203097690898,0.006478585220232932,262,2,,206,19.0,,,,True,False,False,0.23947495222091675,0.12751184403896332,0.35708802938461304,COMPLETE
140,0.06938574463129044,0.6241719043295295,0.0030060648714639124,299,2,,229,19.0,,,,True,False,False,0.24804899096488953,0.1460338830947876,0.3821438252925873,COMPLETE
141,0.06405697017908096,0.6642725605437125,0.006345276530521193,267,2,,206,16.0,,,,True,False,False,0.24014011025428772,0.13249973952770233,0.3640051484107971,COMPLETE
142,0.06441124528646469,0.7187870546864046,0.007925656632119997,240,2,,242,21.0,,,,True,False,False,0.24655921757221222,0.13589343428611755,0.3686372637748718,COMPLETE
143,0.07345572859048843,0.6469248566781313,0.005227052683145648,264,2,,168,22.0,,,,True,False,False,0.25962403416633606,0.1568397432565689,0.3960300087928772,COMPLETE
144,0.10261224955320358,0.6296583029651767,0.0066559558311048515,210,2,,17,17.0,,,,True,False,False,0.3172914981842041,0.22851543128490448,0.4780328571796417,COMPLETE
145,0.07684051245450974,0.6749502966484516,0.0040837505897348275,241,2,,208,19.0,,,,True,False,False,0.26681047677993774,0.16243858635425568,0.4030366837978363,COMPLETE
146,0.06084845960140228,0.6133792884463133,0.007998910158840375,284,2,,224,18.0,,,,True,False,False,0.23612640798091888,0.12823475897312164,0.3580988049507141,COMPLETE
147,0.29403403401374817,0.6037555402110706,0.008134672298913752,286,2,5.0,225,18.0,,,,True,True,True,0.6643604636192322,0.6322646141052246,0.795150637626648,COMPLETE
148,0.06702279299497604,0.6222174345322733,0.005716341626093812,195,2,,236,20.0,,,,True,False,False,0.25350943207740784,0.13931407034397125,0.37324801087379456,COMPLETE
149,0.07292266190052032,0.6481638022162877,0.004650957353754179,300,1,,185,,,,,True,False,False,0.2583613991737366,0.1602313369512558,0.40028905868530273,COMPLETE
